pid,label,Keyword,Description,Image,References,Main Bias Set Records,Editor(s),Image Caption,Comments (K4BL Only),Created
fugitivity,Fugitivity,fugitivity,"Fugitivity is a keyword in Black studies that captures the physical, metaphysical, armed, and everyday resistance of enslaved Africans and their allies against any and all aspects of enslavement. Rashauna Johnson, describing the ""slave space"" that was New Orleans, points to the specific geography of the region as lesson in fugitivity: ""Nonetheless, enslaved persons appropriated the places assigned them toward their own ends, a point that broadens the received gendered geographies of slave resistance. Because New Orleans was an important port city, it offered a diffuse set of pathways for escape – and recapture. If the politics of place could oppress, slaves reasoned, movement could also become an avenue to freedom. The connectedness that made the city’s location so desirable to merchants and imperial officials – its land passageways, river outlets, and Atlantic access – gave runaways an array of escape options. The fugitives redefined themselves in local “geographies of resistance,” or fled to other parts of the Atlantic World."" (Johnson, Slavery's Metropolis). 

However, fugitivity is a term encompassing more than marronage (which is the act of absconding from enslavers and being out of reach of slaveholding authorities, even if temporary). Fugitivity describes active and intentional resistance, as well as the acts of imagination and refusal that Africans and people of African descent engaged in against slaveholders gendered racial capitalistic regime. 

Fred Moten writes: “What's at stake is fugitive movement in and out of the frame, bar, or whatever externally imposed social logic—a movement of escape, the stealth of the stolen that can be said, since it inheres in every closed circle, to break every enclosure. This fugitive movement is stolen life, and its relation to law is reducible neither to simple interdiction nor bare transgression. Part of what can be attained in this zone of unattainability, to which the eminently attainable ones have been relegated, which they occupy but cannot (and refuse to) own, is some sense of the fugitive law of movement that makes black social life ungovernable, that demands a para-ontological disruption of the supposed connection between explanation and resistance.""

Fugitivity is a keyword in Black studies and Keywords for Black Louisiana draws on Black studies insights to understand the sources Africans and their descendants appeared in, as well as better interpret the individual and communal acts of resistance.",cypress-bayou-keywords.png (https://v5.airtableusercontent.com/v3/u/28/28/1715616000000/YccUu1p6O4v4sIPX_GXuOQ/ptu2Zbz0saRR1hxSQ44WuaV8NkxtFp2BIIBpert9Ms62xwuyjLNlg4w5digHzwKPHiaqLSFIVPb0B-zypyzMfRUTzpmXXa7NhD3stQTaQigcC23IAoADhb5PJfJEGoNI5wfaYyN4UI7rZMrT4kmUj4kUZJjcuWd4DLHqmhd8OwNGOeeZzie_0JlogYqkO85B/Q0xfA3T1mYmNv7NcH64VK_UsckMwN_27VJi3TQUb2_k),"Johnson, Rashauna. Slavery's Metropolis: Unfree Labor in New Orleans during the Age of Revolutions (Cambridge Studies on the African Diaspora) (p. 14). Cambridge University Press; Moten, Fred. “The Case of Blackness.” Criticism 50, no. 2 (February 22, 2009): 177–218; Christina Marie Villarreal, “Black Fugitive Strategies: Slavery and Self-Emancipation in the Spanish Gulf Coast Borderlands,” in At the Heart of the Borderlands: Africans and Afro-Descendants on the Edges of Colonial Spanish America (University of New Mexico Press, 2023), 20, https://books.google.com/books?hl=en&lr=&id=loWYEAAAQBAJ&oi=fnd&pg=PA20&dq=christina+villarreal+texas&ots=LEMye7fsWt&sig=5rAXQYUGceGAi3sGdb7G_qkjtxI; ","21,35,36,37,53,63,84,86,87,91,93,95,96,97,106,107,110,128,129,137,144,166,169,173,174,187,188,199,207,215,217,251,254,277,278,282,286,295,296,305,311,313,321,322,335,342","J M Johnson,Leila Blackbird,Ellie Palazzolo,Olivia Barnard","1: caption: Camera looking from water to stand of cypress along shore. Louisiana Ecology and Conservation: The Percy Viosca, Jr. Collection, Louisiana Digital Library, Baton Rouge, La. https://louisianadigitallibrary.org/islandora/object/lsu-sea-pvc%3A263; ",,5/10/2024 9:53 AM
funeral,Funeral,funeral,,,,"41,102",,,,5/10/2024 9:53 AM
fungibility,Fungibility,fungibility,,,,"7,8,9,21,30,31,32,34,40,165,202,203",,,,5/10/2024 9:53 AM
girlhood,Girlhood,girlhood,,,,"9,22,28,30,47,48,56,57,66,102,114,177,260,263,270",,,,5/10/2024 9:53 AM
health,Health,health,,,,"58,67,71,72,73,85,99,104,108,117,130,131,145",,,,5/10/2024 9:53 AM
hiring-out,Hiring Out,hiring out,,,,"46,70,84,133,165,283",,,,5/10/2024 9:53 AM
illness,Illness,illness,,,,"46,58,71,73,85,99,108,117,130,131,180,181,182,190,219,220,280",,,,5/10/2024 9:53 AM
imprisonment,Imprisonment,imprisonment,,,,"63,165,207,221,296,322,342",,,,5/10/2024 9:53 AM
income,Income,income,,,,"44,150,326",,,,5/10/2024 9:53 AM
indian-slavery,Indian Slavery,Indian slavery,,,,"2,3,4,5,48,51,90,103,179,184,254,263",,,,5/10/2024 9:53 AM
indian-wars,Indian Wars,Indian wars,,,,"67,68,69,70,109,121,171,172,200,280,323,330,338,339,341,344,347,348,349",,,,5/10/2024 9:53 AM
indigenous-peoples,Indigenous Peoples,Indigenous peoples,,,,"51,65,90,109,171,172,188,254,263,323,330,342",,,,5/10/2024 9:53 AM
inheritance,Inheritance,inheritance,,,,"3,22,30,31,32,40,41,43,56,57",,,,5/10/2024 9:53 AM
kinship,Kinship,kinship,"<p>Keywords for Black Louisiana views ""kinship"" and the battle for kin as central to Black life in the New World. Kinship is the glue that knit Africans together in Gulf Coast Louisiana. Building and rebuilding fictive, chosen, and biological kin that reshaped bonds broken through the slave trade and the forced relocations of bondage in the New World occupied Africans and people of African descent from the moment of their initial capture on the content to the end of their lives.</p> 
<p>Larry Powell writes: ""Few aspects of African tradition were felt more strongly by slaves fresh from the homeland than a commitment to kinship. Severed from bloodlines, they invented new family ties on the spot. Fictive kinship was one type. Slaves acquired new siblings and new elders. But these arrangements were ad hoc and informal, anchored in nothing more solid than the sands of sentiment.</p>
<p>Gender, age, and reproductive capacity played an important role in kinship relations and rebuilding kinship and community. As Jessica Marie Johnson writes, ""Understanding the role intimacy and kinship played in black women’s lives highlights black women’s everyday understanding of freedom as centered around safety and security for themselves and their progeny. Safety, particularly safety from intimate violence, and security lay at the heart of decisions to secure or reject patrons, partners, lovers, and other kin. Black women’s intimacy with individuals ranged along the spectrum of coerced to strategic, from fraternal to sexual. Determined to build community and make generations, imagining futures that were, if not beyond bondage, at least buttressed against harm, they cultivated, protected, and defended kinship networks. They engaged in a range of practices meant to safeguard their bodies and their legacies. At times this included legitimating kinship ties through formal sacred institutions like the Catholic Church.""",,"Powell, Lawrence N.. The Accidental City (pp. 268-269). Harvard University Press; Johnson, Jessica Marie. Wicked Flesh: Black Women, Intimacy, and Freedom in the Atlantic World. University of Pennsylvania Press, 2020.","3,4,5,11,12,27,32,35,43,48,66,75,78,79,81,104,105,109,111,112,119,126,127,128,137,166,173,174,175,176,197,207,214,215,218,224,244,251,260,261,263,265,272,281,282,309,319,324,325,327,329,337,342,350","J M Johnson,Leila Blackbird,Ellie Palazzolo,Olivia Barnard</p>",,Created as part of the SE microedition (2024),5/10/2024 9:53 AM
la-traversée,La Traversée,la traversée,,,,"234,264,295",,,,5/10/2024 9:53 AM
labor,Labor,labor,,,,"41,77,82,137,170,255,264,267,268",,,,5/10/2024 9:53 AM
law,Law,law,,,,"8,35,106,159,161,204,326,343",,,,5/10/2024 9:53 AM
lease,Lease,lease,,,,"6,41,44,70,71,72,133,192",,,,5/10/2024 9:53 AM
legalism,Legalism,legalism,,,,"3,7,19,23,35,161,191,210,326",,,,5/10/2024 9:53 AM
love,Love,love,,,,"87,105,327",,,,5/10/2024 9:53 AM
manumission,Manumission,manumission,"Manumission is the act of freeing and being freed from slavery ""while the institution of slavery continues,"" as described by Randy J. Sparks and Rosemary Brana-Shte. Manumission was a critical act and strategy enslaved people engaged in as they struggled for control over the lives, selves, and kinship networks. Differentiated from emancipation, which were legislative acts and actions (i.e. U.S. Civil War) wholesale or conditionally (i.e. with apprenticeship) freeing all enslaved people across a given slaveholding society, manumission was executed by individual enslavers on behalf of their respective property (enslaved people) through formal (i.e. legal) action. Manumission was regulated by imperial and national officials in all slaveholding societies, but the rules of manumission varied across empire, region, even towns or colonial outposts. In French Louisiana, manumission was regulated by a succession of Code Noirs (1685, 1724) which determined the guidelines enslavers needed to follow to complete an act of manumission. In Spanish Louisiana, the French ordinances were replaced by Spanish manumission law guided by the Siete Partidas, eighteenth-century Spanish imperial Code Noirs and bandos de buen gobierno. The differences were stark between the two imperial eras. For example, during the French period, enslavers were required to secure ratification of the Superior Council for any manumissions. In the Spanish period, not could enslavers directly manumit their enslaved property, but enslaved people could also appeal to the Spanish Cabildo (Louisiana's governing body during the Spanish period) for their freedom. Coartación, the process of appealing for your freedom, allowed a critical mass of Africans and people of African descent to secure their freedom. The audacity, creativity and resistance practice of enslaved people demanding their legal freedom from their owners through coartación, laid the foundation for the free population of color that would emerge in the later years of the eighteenth-century. 
",free women of color-003.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1715616000000/e5GziaFcdpFt5Wbc4IyGBA/9ob9VlZFP1oX4qprcFxGgSN2cGnZnk82WWeDCqMnMXrgS0IEouWEkU4vp3PJa8Zy9k-kqBBfkhGfKersDSmxRagugR8cFzEHabhFiLeDahXwvHY24YPIByctNqWqXpKzcT9pGYgJx9j85CRxh7_ouEkkMjt0DIJ8hokzqZwMx6Q/R6OrAQ2MFHrRRNbx_RJXIKmNETua8RaVDhuclrI139Q),"Rosemary Brana-Shute and Randy Sparks, eds., Paths to Freedom: Manumission in the Atlantic World (Columbia: University of South Carolina Press, 2011); Jennifer M Spear, Race, Sex, and Social Order in Early New Orleans (Baltimore: Johns Hopkins University Press, 2009); Johnson, Jessica Marie. Wicked Flesh: Black Women, Intimacy, and Freedom in the Atlantic World. University of Pennsylvania Press, 2020; Guillaume Aubert, “”The Blood of France”: Race and Purity of Blood in the French Atlantic World,” The William and Mary Quarterly 61(2004): 439–78; Kimberly S. Hanger, Bounded Lives, Bounded Places: Free Black Society in Colonial New Orleans, 1769-1803. Durham: Duke University Press, 1997; Jennifer M Spear, Race, Sex, and Social Order in Early New Orleans (Baltimore: Johns Hopkins University Press, 2009); Johnson, Jessica Marie. Wicked Flesh: Black Women, Intimacy, and Freedom in the Atlantic World. University of Pennsylvania Press, 2020; Fuente, Alejandro de la, and Gross, Ariela. Becoming Free, Becoming Black: Race, Freedom, and Law in Cuba, Virginia, and Louisiana. Cambridge, MA: Cambridge University Press, 2021.","2,4,5,29,42,43,44,50,56,57,75,83,102,124,225,261,314,327,329,350","J M Johnson,Leila Blackbird,Ellie Palazzolo,Olivia Barnard",,Created for SE edition (2024),5/10/2024 9:53 AM
maritime,Maritime,maritime,,,,"20,142,178,183,189,203,206,267,276,277",,,,5/10/2024 9:53 AM
marriage,Marriage,marriage,,,,"64,75,117,154,173,174,213,214,244,251,282,303,324,327,333",,,,5/10/2024 9:53 AM
marronage,Marronage,marronage,,,,"21,35,36,37,53,61,63,65,84,86,91,93,95,96,97,106,107,110,112,118,122,127,128,129,136,137,144,169,170,173,174,188,206,207,215,217,221,234,235,238,239,244,246,251,254,257,259,275,282,286,292,295,296,297,305,307,311,313,321,322,335,336,340",,,,5/10/2024 9:53 AM
material-culture,Material Culture,material culture,,,,"207,288",,,,5/10/2024 9:53 AM
medicine,Medicine,medicine,,,,"67,100,256",,,,5/10/2024 9:53 AM
mestizaje,Mestizaje,mestizaje,,,,33,,,,5/10/2024 9:53 AM
metissage,Metissage,metissage,,,,33,,,,5/10/2024 9:53 AM
middle-passage,Middle Passage,Middle Passage,,,,"89,145,234,295,306,320",,,,5/10/2024 9:53 AM
military,Military,military,,,,"9,10,39,68,69,75,171,172",,,,5/10/2024 9:53 AM
military-service,Military Service,military service,,,,"39,69,70,109,171,172,330",,,,5/10/2024 9:53 AM
mixed-race,Mixed-Race,mixed-race,,,,"4,5,33,78,263,321",,,,5/10/2024 9:53 AM
mobility,Mobility,mobility,,,,"18,166,177,219,220,267,268",,,,5/10/2024 9:53 AM
motherhood,Motherhood,motherhood,,,,"14,31,33,44,48,49,56,57,58,66,78,79,81,83,88,90,102,135,145,176,178,218,224,240,241,288,319,329,350",,,,5/10/2024 9:53 AM
murder,Murder,murder,,,,"25,34,153,231,294",,,,5/10/2024 9:53 AM
music,Music,music,,,,269,,,,5/10/2024 9:53 AM
natchez-uprising,Natchez Uprising,Natchez Uprising,,,,323,,,,5/10/2024 9:53 AM
nation,Nation,nation,,,,"22,207",,,,5/10/2024 9:53 AM
payment,Payment,payment,,,,"17,21,142,143,146,149,150,158,160,162,163,164,167,178,189,194,196,197,204,212,216,326",,,,5/10/2024 9:53 AM
play,Play,play,,,,"137,207",,,,5/10/2024 9:53 AM
race,Race,race,,,,"4,5,33,211",,,,5/10/2024 9:53 AM
religion,Religion,religion,,,,"28,29,102,200,269,335,350",,,,5/10/2024 9:53 AM
relocation,Relocation,relocation,,,,"2,9,38,97,183,190,197,206,224",,,,5/10/2024 9:53 AM
rental,Rental,rental,,,,44,,,,5/10/2024 9:53 AM
resistance,Resistance,resistance,,,,"5,35,107,200,234,239,257,294,295,296,297,305,342",,,,5/10/2024 9:53 AM
rival-geography,Rival Geography,rival geography,,,,"36,37,69,97,109,112,118,122,128,137,251,254,259,277,305,308,335,342",,,,5/10/2024 9:53 AM
sale,Sale,sale,,,,"6,7,8,9,13,19,20,28,30,31,32,35,38,42,44,45,48,49,52,54,55,63,66,74,77,80,81,89,94,103,105,113,115,123,125,142,143,154,156,185,186,187,191,195,201,202,203,208,209,212,237,266,279,284,286,325,326",,,,5/10/2024 9:53 AM
seizure,Seizure,seizure,,,,"23,90,159,165,193,202,224,295,296",,,,5/10/2024 9:53 AM
self-purchase,Self-Purchase,self-purchase,,,,"28,35,218",,,,5/10/2024 9:53 AM
sickness,Sickness,sickness,,,,"67,68,179,184",,,,5/10/2024 9:53 AM
skilled-labor,Skilled Labor,skilled labor,,,,"79,158,159,161,167,179,183,184,194,236",,,,5/10/2024 9:53 AM
slave-auction,Slave Auction,slave auction,,,,"66,74,80,81,113,165",,,,5/10/2024 9:53 AM
slave-inventory,Slave Inventory,slave inventory,,,,"1,22,30,31,32,33,42,44,45,50,64,66,78,79,92,125,156,168,199",,,,5/10/2024 9:53 AM
song,Song,song,,,,"269,335",,,,5/10/2024 9:53 AM
succession,Succession,succession,,,,"1,3,51,72,92,168,197,199,218",,,,5/10/2024 9:53 AM
survival,Survival,survival,,,,"21,35,65,96,98,100,145,173,174,189,331",,,,5/10/2024 9:53 AM
tenancy,Tenancy,tenancy,,,,33,,,,5/10/2024 9:53 AM
test,Test,test,,,,1,,,,5/10/2024 3:59 PM
trade,Trade,trade,,,,"46,276",,,,5/10/2024 9:53 AM
trade-work,Trade Work,trade work,,,,"79,82",,,,5/10/2024 9:53 AM
translator,Translator,translator,,,,296,,,,5/10/2024 9:53 AM
transportation,Transportation,transportation,,,,"3,11,38,51,82,110,127,177,178,183,206,224",,,,5/10/2024 9:53 AM
truancy,Truancy,truancy,,,,"35,122,206",,,,5/10/2024 9:53 AM
tutelage,Tutelage,tutelage,,,,"1,17,155",,,,5/10/2024 9:53 AM
valuation,Valuation,valuation,,,,"22,30,31,32,34,35,41,42,44,45,46,49,59,63,64,66,77,78,79,81,103,175,201,205,213,214,218,261,263",,,,5/10/2024 9:53 AM
violence,Violence,violence,,,,"25,34,35,96,97,118,136,169,219,222,231,295,296,342",,,,5/10/2024 9:53 AM
war,War,war,,,,"61,69,70,171,172,323,330",,,,5/10/2024 9:53 AM
wellness,Wellness,wellness,"Keywords for Black Louisiana views ""wellness"" expansively and radically to encompass an array of practices. For Africans in Gulf Coast Louisiana, wellness meant more than the physical health. Enslavers demanded control over Africans bodies, minds, and futures (via their reproductive labor). Wellness, for Africans, meant wresting control of their whole selves from enslavers. Wellness could mean body autonomy (laboring as they wished, playing as they wished, imbibing food and drink as they wished). It could mean spiritual practices that protected and preserve African systems of belief or maintained  ways of organizing the supernatural that varied from Catholic doctrine. It could mean play, mischief, even behavior the French marked as crimes such as theft or running away, since these crimes often created space for broader wellness practices (feasts, gatherings, and marroonage). 

Along with misreading wellness practices as crimes, enslavers also misread wellness practices as superstition. In 1734, Le Page du Pratz, for example described the creation of gris-gris, protective devices composed of natural and inanimate materials, as being ""very superstitious and attached to their prejudices."" As Gwendolyn Midlo Hall notes, ""Reference to grigri is found in New Orleans court records in 1773. Charms ritually fabricated and worn for protection, as well as charms intended to harm others, have kept their African names to the present day. Zinzin, an amulet of support or power in Louisiana Creole, has the same name and meaning in Bambara. Grisgris, a harmful charm, comes from the Mande word gerregerys. The words zvanga and grisgris are still widely used in New Orleans by speakers of English as well as by Creoles.""
","homme-bambara-grisgris-keywords.tiff (https://v5.airtableusercontent.com/v3/u/28/28/1715616000000/BZUhnQGbxM3UqzxtRCtQmw/NeAl4DuyJQgyyfy7aYqVqhysu8f3ED9dDIoPIXv433uQY6MB0H9WyLwJNqWe72M3OmcL9VlcDgA_egPt3Y3VKBzI5NrDumRyhW1LBqU_dxtzseisHcv3_rhyNS2i3HJZipem9_QQ11b_3u-LTT50Fgl9zDHKRYpxdCAxk0Vk5vqnGf0WL0sPECHa5ql3cfcX/oWV0mnd3WpL13YkxOfhTuBETLO2F-pyFg3-E1kaXqJ0),grigris-detail-schomburg-1257399-keywords.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1715616000000/T7B0OUnEF5PBRrInd_LVJw/llHopg0B-5KdbHL8U_ENMbkGEI-hHW9UvxqnSRqJ1fDprkMLm5-OCuTr3_343maFNc9_mzj3wuDTKFh4SLZ-Mzgonc7vRVKxstsH6oBCeqYRVxFPncYAFSnS1amKOgWSSpUQPUVXL5G6pdgw7GUGB2vDlofsnIs8Dn2Vlwn82P53MAhj3KNRnK2xQfCp0NA20jP4e75sjtb3JY0IYiwIEA/IukxQVBxJLEBRpFwGo4kBAxExz-4qxAsMtWqXs9_tvk)",Gwendolyn Midlo Hall. Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth-Century . LSU Press. ,"59,62,72,73,78,85,88,93,98,99,100,104,108,109,117,119,130,131,145,171,172,180,181,182,188,190,226,227,232,240,241,284,300,302,316,344","J M Johnson,Leila Blackbird,Olivia Barnard,Ellie Palazzolo","1. David Boilat, Esquisses sénégalaises: physionomie du pays, peuplades, commerce, religions, passé et avenir, récits et légendes (Paris: P. Bertrand, 1853), plate 23 via Slavery Images: A Visual Record of the African Slave Trade and Slave Life in the Early African Diaspora, accessed September 6, 2023, http://slaveryimages.org/s/slaveryimages/item/2476; 2. caption: Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division, The New York Public Library. ""Grisgris, Water Bottle & Pouch"" New York Public Library Digital Collections. Accessed September 6, 2023. https://digitalcollections.nypl.org/items/510d47da-6eda-a3d9-e040-e00a18064a99
","Created as part of the Keywords Scholarly Edition, vol. 141",5/10/2024 9:53 AM
witness,Witness,witness,,,,"10,24,114,200,220,223",,,,5/10/2024 9:53 AM
womanhood,Womanhood,womanhood,,,,"6,9,13,14,15,48,60,101,113,114,178,207,213,218,224,303,326",,,,5/10/2024 9:53 AM
work,Work,work,,,,"46,210,326",,,,5/10/2024 9:53 AM
