pid,document_ids,full_name,given_name,surname_enslaver,dit_alias,alt_first_name,alt_surname_enslaver,nation_given,descendant_surnames,alt_descendant_surnames,biographical_notes,racial_descriptions,ethnic_descriptions,status,age_notes,other_documents_present,document_descriptions,related_people,related_people_ids,stories,daem_comments,daem_editor
#kl0027,d0218,Felicité (D'Éstrehan),Felicité,(D'Éstrehan),,,(Destrehan),,Destrehan,,5-year old daughter of Catharina and enslaved on the Destrehan Plantation. Her mother is seeking freedom for both of them through coartación proceedings.,negra,,"enslaved,liminal",5,,,#kl0025,#kl0025,,,
#kl0028,d0218,Medery (Picquery),Medery,(Picquery),,,,,"Picquery, Piquery, Picqueray, Pecquery",,Friend of Julia Fortier and enslaved by Antoine Joseph Picquery. Julia is seeking freedom on his behalf through coartación proceedings.,"negro,negro esclavo",,"enslaved,liminal",,,,#kl0026,#kl0026,,,
#kl0029,d0254,Bontemps (Pellerin),Bontemps,(Pellerin),"unnamed ""sauvage déserteur""",,,,"Pellerin, Pelerin, Pelegrin",,"Unnamed in this document, Bontemps was identified at his 1728 trial as being one of Louis Congo's attackers. He is a teenage Native boy who is later hung at the gallows by Louis Congo.","esclave sauvage,sauvage",,"enslaved,maroon",,,,"#kl0030,#kl0009,#kl0031,#kl0032","#kl0030, #kl0009, #kl0031, #kl0032",,,
#kl0030,d0254,Guillory (Trudeau),Guillory,(Trudeau),"unnamed ""sauvage déserteur""",,(Guillory),,"Trudeau, Trudeaux",Guillory,"Unnamed in this document, Guillory was identified at his 1728 trial as being one of Louis Congo's attackers. In that later trial, he was also accused of stealing from Trudeau, his enslaver.","esclave sauvage,sauvage",,"enslaved,maroon",,,,"#kl0029,#kl0009,#kl0031,#kl0032","#kl0029, #kl0009, #kl0031, #kl0032",,,
#kl0031,d0254,"unnamed ""sauvage déserteur""",,,"unnamed ""sauvage déserteur""",,,,,,"Unnamed in this document and one of ""trois sauvages déserteurs."" He was accused alongside Bontemps and Guillory in the attack on Louis Congo.",sauvage,,"enslaved,maroon",,,,"#kl0029,#kl0030,#kl0009,#kl0032","#kl0029, #kl0030, #kl0009, #kl0032",,,
#kl0032,d0254,"unnamed ""esclave"" (Saint-Martin)",,(Saint-Martin),"unnamed ""esclave""",,,,"St. Martin, Martin, Martinet, Martinez",,"Unnamed in this document, but identified as being enslaved by Saint-Martin. He is accused of assisting Indigenous maroons by stealing munitions from his enslaver.",unidentified,,"enslaved,maroon",,,,"#kl0029,#kl0030,#kl0031,#kl0009","#kl0029, #kl0030, #kl0031, #kl0009",,,
#kl0033,d0281,Maturine (Boré),Maturine,(Boré),,Maturina,,,"Bore, Bouret, Baure, Borre, Porre, Barre, Debore",,"Enslaved by Alexandre de Boré and friend, or kin, of Naneta Boré. She is accused of having done nothing worthy of her freedom and being of ill repute.","negra,negra esclava",,"enslaved,liminal",,,,#kl0021,#kl0021,,,
#kl0034,d0261,Mariana Marcos alias Voisin,Mariana,Marcos,Voisin,Marianne,,,"Marcos, Marcs, Marcon, Marks","Voisin, Duvoisin, Duboison, Duboisson, Dubuisson, Vezin, Duvezin","Negra libre, sister of Pelagia (D'Anneville) and associate of Francisco Ramón Canes, ""el Curro.""","negra,negra libre,morena libre",,free,,,,"#kl0035,#kl0036","#kl0035, #kl0036",,,
#kl0035,d0261,Pelagia (D'Anneville),Pelagia,(D'Anneville),,Pelagie,,,"Danneville, Derneville, D'Erneville, Darneville, Denneville",,"Negra esclava, sister to Mariana Marcos alias Voisin. She was enslaved by Pierre Olivier D'Anneville.","negra,negra esclava",,"enslaved,liminal",,,,"#kl0034,#kl0036","#kl0034, #kl0036",,,
#kl0036,d0261,Francisco Ramón Canes alias el Curro,Francisco Ramón Canes,Canes,"""el Curro""",,,,"Canes, Cannes",,"A free man of African and Spanish descent from Cuba, associate of Marina Marcos alias Voisin. He helped in the coartación proceedings of Pelagia (D'Anneville).",curro,,free,,,,"#kl0034,#kl0035","#kl0034, #kl0035",,,
#kl0037,d0263,Cecilia Tounoir,Cecilia,Tounoir,,,,,"Tournoir, Tonnoir, Tounour, Tourner",,"Afro-Indigenous woman, aunt to Naneta (Tounoir); previously enslaved by Juan Bautista Tounoir; daughter of María of the Patouca nation; sister to Maria Juana (Monsanto); aunt to Marie (Poydras) and Antoine Sarrazin (Poydras), conspirator of the Pointe Coupée Uprising of 1795.","india,india libre,oriunda,negra",Native Indian of this nation,free,,,,#kl0038,#kl0038,,,
#kl0038,d0263,Naneta (Tounoir),Naneta,(Tounoir),,,,,"Tournoir, Tonnoir, Tounour, Tourner",,"Niece of Cecilia, enslaved by by Juan Bautista Tounoir; granddaughter of María of the Patouca nation. While not explicitly stated, she is most likely Afro-Indigenous.","india,india esclava,oriunda",Native Indian of this nation,"enslaved,liminal",,,,#kl0037,#kl0037,,,
#kl0039,d0263,María (Germain),María,(Germain),,,,María of the Patouca nation,"Germain, St. Germain, German, Jerman, Germaine, St. Germaine",,"Mother of Cecilia Tounoir and Maria Juana (Monsanto); grandmother of Naneta (Tounoir), Marie (Poydras), and Antoine Sarrazin (Poydras), conspirator of the Pointe Coupée Uprising of 1795. She is an enslaved Indigenous woman of the Patouca nation, or Plains Apache.","india,india esclava,oriunda","Patouca nation,Native Indian of this nation",enslaved,,,,"#kl0038,#kl0037","#kl0038, #kl0037",,,
#kl0040,d0176,Roseta Montreuil,Roseta,Montreuil,,Roceta,,,"Montreuil, Montroy",,"Mother of Domingo alias Lubin (Montreuil), formerly enslaved by Roberto Montreuil. She has successfully sought her own freedom.","parda libre,mulata,mulata libre",,free,,,,#kl0043,#kl0043,,,
#kl0041,d0312,Maria (Pery),Maria,(Pery),Maria cimarrona,Marie,(Richard),,"Pery, Perry, Perret","Richard, Ricard","Mother of Maria (Richard), cimarrona. Imprisoned for having gone maroon.","negra,negra cimarrona",,"enslaved,maroon",,,,#kl0042,#kl0042,,,
#kl0042,d0312,Maria (Ríchard),Maria,(Richard),,Marie,(Pery),Maria of Kabahan Nossée ,"Richard, Ricard","Pery, Perry, Perret","Daughter of Maria (Pery), enslaved by Juan Bautista Richard at Kabahan Nossée (Côte des Acadiens, Acadian Coast / Cajun Coast) near Manchac. She is identified as being an infant who is ""crippled.""",negrita,,"enslaved,liminal",,,,#kl0041,#kl0041,,,
#kl0043,d0176,Domingo alias Lubin (Montreuil),Domingo,(Montreuil),Lubin,Domingue,(Ríchard),,"Montreuil, Montroy","Richard, Ricard","Son of Roseta Montreuil, enslaved by Roberto Montreuil. He is described as suffering from infirmaries.","quarterón esclavo,mulato,mulato esclavo",,"enslaved,liminal",,,,#kl0040,#kl0040,,,
